1241.66 --> 1243.55 | SPEAKER_01
1245.61 --> 1247.90 | SPEAKER_01
1247.66 --> 1248.22 | SPEAKER_03
1250.40 --> 1254.12 | SPEAKER_01
1256.01 --> 1256.87 | SPEAKER_01
1257.92 --> 1260.35 | SPEAKER_01
1260.61 --> 1264.14 | SPEAKER_01
1264.85 --> 1267.46 | SPEAKER_01
1267.88 --> 1269.18 | SPEAKER_01
1270.77 --> 1274.37 | SPEAKER_01
1274.61 --> 1275.66 | SPEAKER_01
1276.14 --> 1277.55 | SPEAKER_01
1277.92 --> 1279.64 | SPEAKER_01
1280.57 --> 1282.11 | SPEAKER_01
1283.68 --> 1284.22 | SPEAKER_01
1284.27 --> 1289.01 | SPEAKER_01
1290.42 --> 1293.14 | SPEAKER_01
1293.70 --> 1295.38 | SPEAKER_01
1296.24 --> 1297.55 | SPEAKER_01
1298.40 --> 1299.90 | SPEAKER_01
1301.24 --> 1302.01 | SPEAKER_01
1302.66 --> 1303.96 | SPEAKER_01
1304.92 --> 1305.61 | SPEAKER_01
1306.01 --> 1308.40 | SPEAKER_01
1309.37 --> 1310.42 | SPEAKER_01
1311.37 --> 1312.51 | SPEAKER_01
1312.72 --> 1314.92 | SPEAKER_01
1315.16 --> 1316.07 | SPEAKER_03
1315.68 --> 1318.12 | SPEAKER_01
1318.77 --> 1320.01 | SPEAKER_01
1319.66 --> 1319.88 | SPEAKER_03
1320.01 --> 1320.11 | SPEAKER_03
1321.81 --> 1323.83 | SPEAKER_01
1324.05 --> 1324.74 | SPEAKER_01
1325.01 --> 1326.98 | SPEAKER_01
1327.72 --> 1329.87 | SPEAKER_01
1330.55 --> 1331.05 | SPEAKER_03
1331.38 --> 1332.64 | SPEAKER_01
1332.81 --> 1333.61 | SPEAKER_01
1334.18 --> 1335.90 | SPEAKER_01
1336.20 --> 1336.74 | SPEAKER_03
1336.72 --> 1337.35 | SPEAKER_01
1337.64 --> 1346.27 | SPEAKER_01
1346.44 --> 1347.22 | SPEAKER_01
1348.90 --> 1357.64 | SPEAKER_01
1357.64 --> 1361.05 | SPEAKER_03
1359.96 --> 1360.18 | SPEAKER_01
1361.05 --> 1362.46 | SPEAKER_01
1362.81 --> 1363.94 | SPEAKER_01
1364.37 --> 1365.68 | SPEAKER_01
1366.64 --> 1368.37 | SPEAKER_01
1369.51 --> 1372.61 | SPEAKER_01
1373.20 --> 1380.92 | SPEAKER_01
1373.74 --> 1374.62 | SPEAKER_03
1381.07 --> 1381.42 | SPEAKER_02
1381.27 --> 1383.53 | SPEAKER_01
1382.83 --> 1382.92 | SPEAKER_02
1383.31 --> 1395.79 | SPEAKER_02
1396.48 --> 1396.98 | SPEAKER_01
1397.22 --> 1400.68 | SPEAKER_02
1401.05 --> 1402.87 | SPEAKER_02
1403.11 --> 1404.03 | SPEAKER_01
1403.46 --> 1404.12 | SPEAKER_02
1404.12 --> 1406.40 | SPEAKER_01
1404.31 --> 1406.57 | SPEAKER_02
1406.48 --> 1415.24 | SPEAKER_01
1409.68 --> 1409.85 | SPEAKER_02
1413.53 --> 1413.98 | SPEAKER_02
1415.35 --> 1415.37 | SPEAKER_01
1415.37 --> 1415.62 | SPEAKER_02
1415.44 --> 1421.59 | SPEAKER_01
1421.22 --> 1424.98 | SPEAKER_02
1423.48 --> 1423.90 | SPEAKER_01
1425.27 --> 1425.64 | SPEAKER_01
1425.72 --> 1427.01 | SPEAKER_02
1426.29 --> 1430.62 | SPEAKER_01
1431.74 --> 1432.57 | SPEAKER_01
1432.85 --> 1434.51 | SPEAKER_01
1432.90 --> 1433.31 | SPEAKER_02
1434.98 --> 1437.98 | SPEAKER_02
1438.94 --> 1443.51 | SPEAKER_01
1444.46 --> 1449.40 | SPEAKER_01
1449.42 --> 1449.83 | SPEAKER_03
1450.88 --> 1451.35 | SPEAKER_01
1451.66 --> 1452.85 | SPEAKER_01
1453.01 --> 1453.85 | SPEAKER_03
1453.64 --> 1454.90 | SPEAKER_01
1454.61 --> 1454.96 | SPEAKER_03
1455.11 --> 1457.83 | SPEAKER_01
1457.09 --> 1457.87 | SPEAKER_03
1458.03 --> 1458.51 | SPEAKER_03
1458.53 --> 1459.57 | SPEAKER_01
1459.85 --> 1465.62 | SPEAKER_01
1469.03 --> 1471.61 | SPEAKER_01
1472.16 --> 1474.31 | SPEAKER_01
1474.27 --> 1474.92 | SPEAKER_03
1474.85 --> 1477.40 | SPEAKER_01
1477.81 --> 1479.18 | SPEAKER_03
1478.46 --> 1480.16 | SPEAKER_01
1480.64 --> 1481.87 | SPEAKER_01
1482.05 --> 1482.88 | SPEAKER_01
1482.98 --> 1483.46 | SPEAKER_01
1484.27 --> 1489.12 | SPEAKER_01
1489.20 --> 1489.55 | SPEAKER_03
1489.46 --> 1490.29 | SPEAKER_01
1490.61 --> 1491.59 | SPEAKER_01
1491.70 --> 1492.11 | SPEAKER_03
1491.94 --> 1493.18 | SPEAKER_01
1493.53 --> 1495.83 | SPEAKER_01
1495.81 --> 1496.11 | SPEAKER_03
1496.35 --> 1499.87 | SPEAKER_01
1500.94 --> 1501.79 | SPEAKER_03
1501.42 --> 1504.98 | SPEAKER_01
1505.44 --> 1514.38 | SPEAKER_01
1509.83 --> 1511.07 | SPEAKER_03
1514.55 --> 1516.03 | SPEAKER_01
1514.57 --> 1516.51 | SPEAKER_03
1516.38 --> 1517.88 | SPEAKER_01
1519.11 --> 1520.24 | SPEAKER_01
1521.07 --> 1523.59 | SPEAKER_01
1523.94 --> 1524.07 | SPEAKER_03
1524.07 --> 1525.12 | SPEAKER_01
1524.09 --> 1524.11 | SPEAKER_03
1524.11 --> 1524.20 | SPEAKER_02
1524.20 --> 1524.24 | SPEAKER_03
1525.53 --> 1525.98 | SPEAKER_02
1525.98 --> 1526.01 | SPEAKER_03
1526.09 --> 1526.11 | SPEAKER_02
1526.11 --> 1526.51 | SPEAKER_01
1526.12 --> 1530.74 | SPEAKER_02
1526.70 --> 1528.66 | SPEAKER_01
1531.14 --> 1542.27 | SPEAKER_02
1542.77 --> 1545.96 | SPEAKER_02
1545.07 --> 1546.46 | SPEAKER_01
1546.74 --> 1548.16 | SPEAKER_02
1548.62 --> 1559.83 | SPEAKER_02
1560.05 --> 1560.42 | SPEAKER_01
1560.05 --> 1562.46 | SPEAKER_02
1560.42 --> 1560.44 | SPEAKER_03
1562.66 --> 1569.33 | SPEAKER_02
1569.55 --> 1571.22 | SPEAKER_02
1572.07 --> 1574.01 | SPEAKER_02
1572.11 --> 1575.33 | SPEAKER_01
1574.53 --> 1584.62 | SPEAKER_02
1580.35 --> 1581.96 | SPEAKER_01
1582.94 --> 1583.68 | SPEAKER_01
1584.64 --> 1588.01 | SPEAKER_01
1589.90 --> 1591.03 | SPEAKER_01
1591.62 --> 1593.07 | SPEAKER_01
1593.72 --> 1594.79 | SPEAKER_02
1594.81 --> 1595.37 | SPEAKER_01
1595.35 --> 1597.05 | SPEAKER_02
1595.79 --> 1600.16 | SPEAKER_01
1600.68 --> 1601.72 | SPEAKER_01
1601.96 --> 1602.92 | SPEAKER_01
1603.29 --> 1605.38 | SPEAKER_01
1605.81 --> 1606.92 | SPEAKER_01
1608.20 --> 1610.87 | SPEAKER_01
1611.42 --> 1614.85 | SPEAKER_01
1615.18 --> 1615.51 | SPEAKER_03
1616.57 --> 1619.42 | SPEAKER_01
1619.90 --> 1630.85 | SPEAKER_01
1631.31 --> 1635.20 | SPEAKER_01
1635.85 --> 1636.79 | SPEAKER_03
1636.35 --> 1640.79 | SPEAKER_01
1640.77 --> 1641.90 | SPEAKER_03
1641.61 --> 1643.33 | SPEAKER_01
1644.03 --> 1650.64 | SPEAKER_01
1651.46 --> 1655.62 | SPEAKER_01
1655.29 --> 1655.51 | SPEAKER_03
1655.62 --> 1655.77 | SPEAKER_03
1655.77 --> 1657.12 | SPEAKER_01
1655.81 --> 1657.51 | SPEAKER_03
1657.64 --> 1661.83 | SPEAKER_01
1658.46 --> 1658.81 | SPEAKER_03
1661.81 --> 1662.18 | SPEAKER_03
1662.31 --> 1665.29 | SPEAKER_01
1666.22 --> 1669.87 | SPEAKER_01
1669.92 --> 1670.37 | SPEAKER_03
1670.62 --> 1672.09 | SPEAKER_01
1672.44 --> 1674.98 | SPEAKER_01
1675.42 --> 1677.87 | SPEAKER_01
1678.14 --> 1681.12 | SPEAKER_01
1681.62 --> 1686.68 | SPEAKER_02
1687.03 --> 1690.90 | SPEAKER_02
1691.18 --> 1694.62 | SPEAKER_02
1694.20 --> 1695.38 | SPEAKER_01
1695.62 --> 1696.70 | SPEAKER_01
1696.94 --> 1697.01 | SPEAKER_01
1697.09 --> 1699.24 | SPEAKER_01
1700.37 --> 1705.03 | SPEAKER_01
1705.70 --> 1705.81 | SPEAKER_02
1705.81 --> 1705.85 | SPEAKER_01
