2812.62 --> 2813.48 | SPEAKER_00
2813.48 --> 2828.91 | SPEAKER_02
2830.46 --> 2840.89 | SPEAKER_02
2841.39 --> 2842.46 | SPEAKER_00
2842.46 --> 2858.37 | SPEAKER_02
2859.35 --> 2872.92 | SPEAKER_02
2859.48 --> 2861.42 | SPEAKER_00
2873.57 --> 2878.80 | SPEAKER_02
2876.48 --> 2884.41 | SPEAKER_00
2882.58 --> 2900.47 | SPEAKER_02
2894.92 --> 2895.26 | SPEAKER_01
2900.12 --> 2903.53 | SPEAKER_00
2900.47 --> 2901.57 | SPEAKER_01
2901.57 --> 2901.79 | SPEAKER_02
2903.53 --> 2907.80 | SPEAKER_02
2908.66 --> 2908.69 | SPEAKER_02
2908.69 --> 2909.06 | SPEAKER_00
2909.87 --> 2912.76 | SPEAKER_02
2909.92 --> 2910.73 | SPEAKER_00
2912.76 --> 2940.04 | SPEAKER_00
2924.13 --> 2925.43 | SPEAKER_01
2940.23 --> 2942.04 | SPEAKER_02
2942.04 --> 2947.65 | SPEAKER_00
2946.83 --> 2976.48 | SPEAKER_02
2965.64 --> 2967.67 | SPEAKER_00
2968.65 --> 2972.70 | SPEAKER_00
2977.27 --> 2985.96 | SPEAKER_02
2982.72 --> 2984.12 | SPEAKER_00
2987.34 --> 2994.33 | SPEAKER_02
2989.94 --> 2989.98 | SPEAKER_00
2995.14 --> 3013.53 | SPEAKER_02
2998.90 --> 3001.98 | SPEAKER_01
3004.59 --> 3004.66 | SPEAKER_00
3007.66 --> 3008.47 | SPEAKER_00
3014.26 --> 3017.33 | SPEAKER_02
3019.09 --> 3031.59 | SPEAKER_00
3028.23 --> 3028.98 | SPEAKER_02
3033.24 --> 3033.48 | SPEAKER_00
3033.48 --> 3033.50 | SPEAKER_02
3033.82 --> 3034.04 | SPEAKER_01
3037.58 --> 3055.67 | SPEAKER_00
3056.45 --> 3089.22 | SPEAKER_00
3059.37 --> 3059.60 | SPEAKER_02
3061.14 --> 3062.46 | SPEAKER_02
3070.52 --> 3072.46 | SPEAKER_02
3088.73 --> 3092.78 | SPEAKER_02
3093.91 --> 3095.07 | SPEAKER_02
3095.90 --> 3110.06 | SPEAKER_02
3111.00 --> 3167.84 | SPEAKER_02
3113.15 --> 3114.26 | SPEAKER_00
3122.68 --> 3122.80 | SPEAKER_00
3141.53 --> 3143.91 | SPEAKER_00
3145.95 --> 3146.00 | SPEAKER_00
3153.34 --> 3154.88 | SPEAKER_00
3167.20 --> 3170.79 | SPEAKER_00
3169.92 --> 3174.47 | SPEAKER_02
3173.86 --> 3185.52 | SPEAKER_00
3179.03 --> 3179.84 | SPEAKER_02
3182.15 --> 3183.04 | SPEAKER_02
3187.38 --> 3192.61 | SPEAKER_02
3193.24 --> 3196.48 | SPEAKER_02
3197.73 --> 3202.11 | SPEAKER_02
3203.78 --> 3211.14 | SPEAKER_02
3211.09 --> 3215.11 | SPEAKER_00
3212.25 --> 3220.24 | SPEAKER_02
3220.98 --> 3236.15 | SPEAKER_02
3231.14 --> 3231.48 | SPEAKER_00
3235.59 --> 3238.97 | SPEAKER_00
3238.97 --> 3248.03 | SPEAKER_02
3249.13 --> 3252.03 | SPEAKER_02
3250.58 --> 3255.47 | SPEAKER_01
3255.03 --> 3271.81 | SPEAKER_00
3271.81 --> 3274.47 | SPEAKER_02
3274.47 --> 3278.17 | SPEAKER_00
3278.17 --> 3282.13 | SPEAKER_02
3282.13 --> 3287.04 | SPEAKER_00
3287.04 --> 3292.63 | SPEAKER_02
3293.49 --> 3295.80 | SPEAKER_02
3294.27 --> 3302.59 | SPEAKER_00
3301.12 --> 3302.03 | SPEAKER_02
3305.56 --> 3309.47 | SPEAKER_02
3308.51 --> 3310.53 | SPEAKER_00
3310.53 --> 3311.90 | SPEAKER_01
3312.76 --> 3314.30 | SPEAKER_01
3315.61 --> 3315.82 | SPEAKER_01
3315.65 --> 3330.97 | SPEAKER_00
3330.97 --> 3337.47 | SPEAKER_01
3337.32 --> 3344.89 | SPEAKER_00
3341.28 --> 3342.26 | SPEAKER_02
3344.89 --> 3345.36 | SPEAKER_02
3346.12 --> 3346.85 | SPEAKER_02
3347.47 --> 3352.82 | SPEAKER_02
3354.31 --> 3360.94 | SPEAKER_02
3361.65 --> 3366.19 | SPEAKER_02
3366.96 --> 3381.48 | SPEAKER_02
3381.48 --> 3397.42 | SPEAKER_00
3387.74 --> 3388.48 | SPEAKER_02
3388.48 --> 3389.39 | SPEAKER_01
3393.15 --> 3394.64 | SPEAKER_02
3397.42 --> 3414.50 | SPEAKER_02
3415.40 --> 3421.98 | SPEAKER_02
3421.35 --> 3426.43 | SPEAKER_00
3426.43 --> 3435.51 | SPEAKER_02
3436.47 --> 3436.98 | SPEAKER_02
3436.52 --> 3441.47 | SPEAKER_00
3440.47 --> 3455.14 | SPEAKER_02
3445.30 --> 3446.97 | SPEAKER_00
3455.96 --> 3462.11 | SPEAKER_02
3463.79 --> 3471.39 | SPEAKER_02
3472.21 --> 3487.37 | SPEAKER_02
3487.96 --> 3496.58 | SPEAKER_02
3495.77 --> 3499.03 | SPEAKER_00
3499.03 --> 3509.74 | SPEAKER_02
3512.26 --> 3526.20 | SPEAKER_02
3513.03 --> 3513.71 | SPEAKER_01
3527.06 --> 3527.97 | SPEAKER_02
3527.97 --> 3531.92 | SPEAKER_00
3528.56 --> 3541.60 | SPEAKER_02
3541.81 --> 3543.81 | SPEAKER_00
3542.25 --> 3542.52 | SPEAKER_02
3544.83 --> 3566.66 | SPEAKER_02
3567.42 --> 3568.89 | SPEAKER_02
3570.41 --> 3601.34 | SPEAKER_02
3589.98 --> 3592.16 | SPEAKER_01
3600.08 --> 3603.97 | SPEAKER_00
3603.97 --> 3609.98 | SPEAKER_02
3609.58 --> 3613.78 | SPEAKER_00
3611.31 --> 3622.08 | SPEAKER_02
3623.65 --> 3624.98 | SPEAKER_02
3624.98 --> 3635.97 | SPEAKER_00
3635.97 --> 3637.77 | SPEAKER_02
3644.36 --> 3653.40 | SPEAKER_02
3647.04 --> 3647.97 | SPEAKER_01
3647.97 --> 3649.47 | SPEAKER_00
3654.55 --> 3657.45 | SPEAKER_02
3654.73 --> 3655.98 | SPEAKER_00
3655.98 --> 3656.00 | SPEAKER_01
3658.04 --> 3659.16 | SPEAKER_02
3660.29 --> 3666.92 | SPEAKER_02
3667.85 --> 3673.21 | SPEAKER_02
3674.41 --> 3674.48 | SPEAKER_02
3674.48 --> 3681.48 | SPEAKER_00
3675.46 --> 3676.81 | SPEAKER_02
3681.48 --> 3697.38 | SPEAKER_02
3698.12 --> 3713.34 | SPEAKER_02
3714.40 --> 3718.05 | SPEAKER_02
3719.87 --> 3771.88 | SPEAKER_02
3732.43 --> 3733.27 | SPEAKER_00
3739.73 --> 3743.14 | SPEAKER_00
3771.12 --> 3777.35 | SPEAKER_00
3775.73 --> 3779.93 | SPEAKER_02
3781.35 --> 3788.70 | SPEAKER_02
3789.70 --> 3799.54 | SPEAKER_02
3799.54 --> 3823.20 | SPEAKER_00
3820.53 --> 3821.85 | SPEAKER_02
3824.01 --> 3851.53 | SPEAKER_00
3851.11 --> 3895.39 | SPEAKER_02
3855.88 --> 3856.49 | SPEAKER_00
3862.72 --> 3863.31 | SPEAKER_00
