1589.90 --> 1591.03 | SPEAKER_01
1591.62 --> 1593.07 | SPEAKER_01
1593.72 --> 1594.79 | SPEAKER_02
1594.81 --> 1595.35 | SPEAKER_01
1595.35 --> 1595.83 | SPEAKER_02
1595.83 --> 1596.59 | SPEAKER_01
1596.59 --> 1597.01 | SPEAKER_02
1597.01 --> 1600.16 | SPEAKER_01
1600.68 --> 1601.72 | SPEAKER_01
1601.96 --> 1602.92 | SPEAKER_01
1603.29 --> 1605.38 | SPEAKER_01
1605.81 --> 1606.92 | SPEAKER_01
1608.20 --> 1610.87 | SPEAKER_01
1611.42 --> 1614.85 | SPEAKER_01
1615.18 --> 1615.51 | SPEAKER_03
1616.57 --> 1619.42 | SPEAKER_01
1619.90 --> 1630.85 | SPEAKER_01
1631.31 --> 1635.20 | SPEAKER_01
1635.85 --> 1636.38 | SPEAKER_03
1636.38 --> 1640.77 | SPEAKER_01
1640.77 --> 1641.62 | SPEAKER_03
1641.62 --> 1643.33 | SPEAKER_01
1644.03 --> 1650.64 | SPEAKER_01
1651.46 --> 1655.62 | SPEAKER_01
1655.62 --> 1655.77 | SPEAKER_03
1655.77 --> 1657.07 | SPEAKER_01
1657.07 --> 1657.51 | SPEAKER_03
1657.64 --> 1661.81 | SPEAKER_01
1661.81 --> 1662.18 | SPEAKER_03
1662.31 --> 1665.29 | SPEAKER_01
1666.22 --> 1669.87 | SPEAKER_01
1669.92 --> 1670.37 | SPEAKER_03
1670.62 --> 1672.09 | SPEAKER_01
1672.44 --> 1674.98 | SPEAKER_01
1675.42 --> 1677.87 | SPEAKER_01
1678.14 --> 1681.12 | SPEAKER_01
1681.62 --> 1686.68 | SPEAKER_02
1687.03 --> 1690.90 | SPEAKER_02
1691.18 --> 1694.38 | SPEAKER_02
1694.38 --> 1695.38 | SPEAKER_01
1695.62 --> 1696.70 | SPEAKER_01
1696.94 --> 1697.01 | SPEAKER_01
1697.09 --> 1699.24 | SPEAKER_01
